cluster_id,cluster_name,rank,token,score
0,学术会议/期刊营销,1,电子,0.025579
0,学术会议/期刊营销,2,sci,0.022647
0,学术会议/期刊营销,3,检索,0.019663
0,学术会议/期刊营销,4,会议,0.016831
0,学术会议/期刊营销,5,期刊,0.016537
0,学术会议/期刊营销,6,查看,0.016156
0,学术会议/期刊营销,7,发表,0.015996
0,学术会议/期刊营销,8,国际,0.01527
0,学术会议/期刊营销,9,点击,0.015157
0,学术会议/期刊营销,10,信息,0.015156
0,学术会议/期刊营销,11,投稿,0.015136
0,学术会议/期刊营销,12,邮件,0.014742
0,学术会议/期刊营销,13,中国,0.014063
0,学术会议/期刊营销,14,领取,0.013169
0,学术会议/期刊营销,15,通知,0.012936
0,学术会议/期刊营销,16,年月日,0.012158
0,学术会议/期刊营销,17,葡京,0.011867
0,学术会议/期刊营销,18,次次,0.011773
0,学术会议/期刊营销,19,邮箱,0.011573
0,学术会议/期刊营销,20,特邀,0.011446
1,待命名簇,1,登记,0.218695
1,待命名簇,2,支持,0.18229
1,待命名簇,3,否则,0.12914
1,待命名簇,4,离职,0.128931
1,待命名簇,5,禁止,0.128614
1,待命名簇,6,长期,0.128336
1,待命名簇,7,备案,0.127532
1,待命名簇,8,及时,0.126943
1,待命名簇,9,认证,0.126774
1,待命名簇,10,处理,0.123294
1,待命名簇,11,附图,0.116422
1,待命名簇,12,通知,0.112517
1,待命名簇,13,需要,0.111237
1,待命名簇,14,邮箱,0.108716
1,待命名簇,15,报消,0.106903
1,待命名簇,16,服务,0.105926
1,待命名簇,17,材料费,0.102884
1,待命名簇,18,广告费,0.102567
1,待命名簇,19,设计费,0.102255
1,待命名簇,20,培训费,0.100394
2,学术会议/期刊营销,1,journal,0.021794
2,学术会议/期刊营销,2,mail,0.019917
2,学术会议/期刊营销,3,account,0.019515
2,学术会议/期刊营销,4,research,0.019499
2,学术会议/期刊营销,5,click,0.01676
2,学术会议/期刊营销,6,now,0.016696
2,学术会议/期刊营销,7,profile,0.016575
2,学术会议/期刊营销,8,conference,0.01587
2,学术会议/期刊营销,9,international,0.015096
2,学术会议/期刊营销,10,message,0.01508
2,学术会议/期刊营销,11,below,0.014662
2,学术会议/期刊营销,12,sent,0.013892
2,学术会议/期刊营销,13,online,0.01371
2,学术会议/期刊营销,14,new,0.01369
2,学术会议/期刊营销,15,papers,0.013586
2,学术会议/期刊营销,16,submit,0.013557
2,学术会议/期刊营销,17,october,0.012816
2,学术会议/期刊营销,18,date,0.012724
2,学术会议/期刊营销,19,th,0.012666
2,学术会议/期刊营销,20,dr,0.012658
3,暴力色情,1,dating,0.065221
3,暴力色情,2,how,0.045681
3,暴力色情,3,what,0.041814
3,暴力色情,4,hey,0.040443
3,暴力色情,5,who,0.029553
3,暴力色情,6,whats,0.028994
3,暴力色情,7,good,0.028448
3,暴力色情,8,hi,0.024315
3,暴力色情,9,ll,0.024014
3,暴力色情,10,let,0.023853
3,暴力色情,11,man,0.022536
3,暴力色情,12,going,0.021373
3,暴力色情,13,day,0.021149
3,暴力色情,14,hello,0.019599
3,暴力色情,15,him,0.019592
3,暴力色情,16,about,0.019386
3,暴力色情,17,girl,0.019374
3,暴力色情,18,cannot,0.019316
3,暴力色情,19,get,0.017182
3,暴力色情,20,evening,0.017168
4,暴力色情,1,出售,0.125533
4,暴力色情,2,详情,0.096108
4,暴力色情,3,网盘,0.087135
4,暴力色情,4,av,0.08388
4,暴力色情,5,罗莉,0.08178
4,暴力色情,6,国产,0.080777
4,暴力色情,7,私聊,0.079485
4,暴力色情,8,城人,0.065808
4,暴力色情,9,资源,0.062121
4,暴力色情,10,韩无马,0.060935
4,暴力色情,11,高清,0.050223
4,暴力色情,12,无码,0.046057
4,暴力色情,13,出兽,0.044939
4,暴力色情,14,种类,0.044491
4,暴力色情,15,齐全,0.043781
4,暴力色情,16,九店,0.038182
4,暴力色情,17,高质量,0.035765
4,暴力色情,18,小店,0.034891
4,暴力色情,19,少妇,0.033088
4,暴力色情,20,成人,0.032945
5,广告营销(发票/费用),1,开发票,0.189218
5,广告营销(发票/费用),2,普通,0.109152
5,广告营销(发票/费用),3,发票,0.107808
5,广告营销(发票/费用),4,专用发票,0.093341
5,广告营销(发票/费用),5,开票,0.077425
5,广告营销(发票/费用),6,咨询,0.07156
5,广告营销(发票/费用),7,经理,0.053459
5,广告营销(发票/费用),8,sz,0.050676
5,广告营销(发票/费用),9,增值,0.045982
5,广告营销(发票/费用),10,普通发票,0.044907
5,广告营销(发票/费用),11,刘琴,0.043574
5,广告营销(发票/费用),12,手机,0.04223
5,广告营销(发票/费用),13,提供,0.039252
5,广告营销(发票/费用),14,代开,0.037983
5,广告营销(发票/费用),15,kopie,0.037099
5,广告营销(发票/费用),16,星期一,0.032644
5,广告营销(发票/费用),17,请加,0.032
5,广告营销(发票/费用),18,李经理,0.02777
5,广告营销(发票/费用),19,小姐,0.027414
5,广告营销(发票/费用),20,星期五,0.025582
